epoch,val_loss,mean_corr
1,0.5741513967514038,0.598623317708985
2,0.4627642333507538,0.696285284381796
3,0.41243061423301697,0.7375374047068233
4,0.37066730856895447,0.7696774434481186
5,0.33971092104911804,0.7898228486122509
6,0.3155786991119385,0.8077441341305335
7,0.3054179251194,0.8132792713201479
8,0.29407382011413574,0.8212144871266499
9,0.2859896123409271,0.8269080838076107
10,0.27827367186546326,0.830965565350717
11,0.271138072013855,0.8355259862889661
12,0.2685791254043579,0.8374423222813959
13,0.2635357975959778,0.8395810019798594
14,0.260171502828598,0.842046578633728
15,0.25827792286872864,0.8429482079438473
16,0.2580375671386719,0.8428956550690796
17,0.2559468448162079,0.8440171450081312
18,0.25665995478630066,0.8443712314193796
19,0.2546120285987854,0.8444321234781389
20,0.2554212808609009,0.8444342121659242
21,0.2537865936756134,0.8456426498015568
22,0.2543136179447174,0.845578799415989
23,0.2537125051021576,0.8452889348762072
24,0.2527015805244446,0.8455693941066404
25,0.25315234065055847,0.8458190840240798
26,0.2520328760147095,0.8464756097777393
27,0.2519868016242981,0.8467081722206022
28,0.2521921694278717,0.8464439597582623
29,0.2519870400428772,0.8465520241907663
30,0.2514845132827759,0.8465150863608899
31,0.2510818839073181,0.8471636488672075
32,0.251162588596344,0.8466575365637614
33,0.2510421872138977,0.8466405606739588
34,0.2509070634841919,0.8468411640630916
35,0.2521766126155853,0.8464473059615446
36,0.250397652387619,0.8477733390748821
37,0.2501872777938843,0.8476599714666622
38,0.25125110149383545,0.8471781970403219
39,0.2526412606239319,0.8464251481031868
40,0.2516982853412628,0.8470605701030499
41,0.2516195774078369,0.8469364987355278
42,0.25195232033729553,0.8459823365782722
43,0.2501041889190674,0.8482034611752902
44,0.2502498924732208,0.847933962691183
45,0.2500803768634796,0.8480235485865993
46,0.2504533529281616,0.8477938730017358
47,0.2510265111923218,0.8473305944128894
48,0.25083547830581665,0.8480744052422682
49,0.2496233880519867,0.8484272722059896
50,0.2521137595176697,0.8468464300930256
51,0.2515687346458435,0.8475691051112247
52,0.25054845213890076,0.8474759998170941
53,0.2499464601278305,0.8482888006815734
