Epoch,TrainLoss,ValLoss,ValSpearman,LR
1,83.48169238855033,72.91846340317716,0.5339208123171728,0.0009972636867364526
2,68.28696908547815,61.04913041169709,0.6294935884801682,0.000989084726566536
3,54.04317173938496,60.29672512713272,0.6344008648235414,0.0009755527298894293
4,49.97817068858827,55.95278652492108,0.674556031367771,0.000956815956092479
5,47.89725044962633,47.79640039309764,0.7255409626537183,0.0009330796891903273
6,46.86988268561032,46.309116540839675,0.727997467643774,0.0009046039886902862
7,45.86150598597491,45.45636449297354,0.73413941060596,0.0008717008403259584
8,44.99508856636169,52.40589875829245,0.6870048317834597,0.0008347307378762498
9,44.06891883914915,44.811144866618015,0.7374298973320672,0.0007940987335200903
10,43.27284709780662,46.10448479886248,0.7335989918355401,0.0007502499999999999
11,42.55735633456533,44.474337023509335,0.7413058357671428,0.0007036649532163623
12,41.754313548207385,46.5251832323542,0.7303481392557023,0.0006548539886902863
13,40.87593769342712,43.226286729109056,0.749099520405177,0.0006043518895634708
14,40.13860651274975,44.69286295030671,0.7403335065369432,0.000552711967402193
15,39.46915926179468,44.619534945945496,0.7441131676551218,0.0005005
16,39.06136768202745,41.71253941582719,0.7589446524878609,0.0004482880325978072
17,38.33460623737814,43.850372163166625,0.7481878535854889,0.0003966481104365293
18,37.543976427839006,42.203733201016746,0.7552357062227877,0.0003461460113097138
19,36.95774079004606,45.424346842491296,0.7355264493857245,0.00029733504678363786
20,36.39286638978281,42.91335649958043,0.7563833891765661,0.0002507500000000001
21,36.02993855372322,42.488215607925774,0.7531569045528659,0.00020690126647990973
22,35.336212884116144,42.981757652429124,0.7506877377816799,0.0001662692621237505
23,34.86305150837972,42.796009252422145,0.7520534183822782,0.00012929915967404152
24,34.63840097578503,41.72368696656054,0.7592136556114985,9.63960113097138e-05
