Epoch,TrainLoss,ValLoss,ValSpearman,LR
1,89.44522490940687,74.89716625776026,0.5260523080335757,0.0009972636867364526
2,62.71308046189618,75.92252834483969,0.5468733407432055,0.000989084726566536
3,54.17206361300028,93.34045870362357,0.5385721601193132,0.0009755527298894293
4,49.56145034741261,72.42647264540045,0.5493672110798827,0.000956815956092479
5,47.334705198687615,87.89130960800313,0.4323077751866159,0.0009330796891903273
6,45.39533640831856,68.1130174349212,0.583031864809951,0.0009046039886902862
7,44.904359999869804,73.19759565576747,0.5625537156732955,0.0008717008403259584
8,43.11526212329194,69.08350489936963,0.5878796674524907,0.0008347307378762498
9,42.42808633819288,80.73046769589662,0.5175507776825979,0.0007940987335200903
10,42.00027712816694,76.30586514878695,0.5181773130482185,0.0007502499999999999
11,40.59038355682382,105.38711955352501,0.36160907496949923,0.0007036649532163623
