Epoch,TrainLoss,ValLoss,ValSpearman,LR
1,99.39634507290377,57.91983140189693,0.6563528688535991,0.0009972636867364526
2,55.68147347573418,46.87384293829909,0.7627769755048224,0.000989084726566536
3,50.09763804496859,42.884151144321294,0.7595709584727636,0.0009755527298894293
4,46.83515512931975,40.32244863576425,0.7726534705242575,0.000956815956092479
5,45.629594444513394,42.16679735761413,0.7707940773131498,0.0009330796891903273
6,44.40809849364772,38.92668375736907,0.7770266398515713,0.0009046039886902862
7,41.95573208962173,38.49837907565741,0.7805267886697879,0.0008717008403259584
8,41.30535617656123,42.02273425089923,0.7735166161797391,0.0008347307378762498
9,40.029726838478354,39.895329074802795,0.7735278818578079,0.0007940987335200903
10,39.25180842186097,40.37560086217159,0.770281558502249,0.0007502499999999999
11,38.7497578600735,40.26882168221498,0.7721242618199217,0.0007036649532163623
12,38.41714957297168,39.6179754906875,0.7789113460677222,0.0006548539886902863
