Epoch,Train Loss,Val Loss,Val Spearman,Learning Rate
1,38.85593852792411,68.0809224744593,0.23812471705128013,0.001
2,32.507450774838546,37.22970335566283,0.5710907280807306,0.001
3,29.76930803251164,33.39542333560787,0.6024770770721838,0.001
4,27.77541940034662,33.33748533189592,0.5898619357936444,0.001
5,26.161913996254373,29.276020295881054,0.6283439279845606,0.001
6,24.61875206321469,39.78448862468621,0.5076061506825863,0.001
7,23.377439505751028,37.57074301583426,0.5451229814300114,0.001
8,22.19596478868109,28.597719291353506,0.6058046831519245,0.001
9,21.075941574182853,27.677878424088767,0.6157711002086942,0.001
10,20.079868910395152,24.794658236269374,0.6339250688420225,0.001
11,19.047148544877977,20.478765658721994,0.6891305006786076,0.001
12,18.119184051530432,20.72435700501231,0.6796759354398602,0.001
13,17.25684178815836,18.959316268274513,0.6847845187227256,0.001
14,16.293001452942423,19.768354845670174,0.6681774398092796,0.001
15,15.389118144846165,21.090071174033646,0.6274139390164553,0.001
16,15.27700396196681,14.460914420136035,0.7229835940021816,0.001
17,15.307241965698726,14.435733840722337,0.7230545533537658,0.001
18,15.277670907660637,14.448294153510046,0.7229048975199396,0.001
19,15.273180934290826,14.452100260400622,0.7233516442198749,0.001
20,15.261417916245922,14.485501521876825,0.7223179404333672,0.001
21,15.286898678746253,14.404464601342234,0.723021329293092,0.001
22,15.276209466285152,14.504338535654378,0.7213707664779212,0.001
23,15.282026425603561,14.441439733036793,0.7232257551395213,0.001
24,15.292741098752726,14.394734846358366,0.7234010796539848,0.001
25,15.268897965220741,14.503568536690517,0.721999917931985,0.001
26,15.298164086006963,14.451508334221309,0.7229697089298452,0.001
27,15.265633935248886,14.45922934165566,0.7227857802274951,0.001
28,15.302149211415028,14.415025273546973,0.7228785807716717,0.001
29,15.266030897230516,14.48497448852869,0.722075096343912,0.001
30,15.270977338531171,14.448221649334956,0.7230922921659753,0.0001
31,15.286502404000545,14.528473014711205,0.7217060144300931,0.0001
32,15.290716173682176,14.455077482054179,0.7229153847030731,0.0001
33,15.284920123747359,14.465872235532386,0.7230824294206629,0.0001
34,15.28394440053233,14.429879776901789,0.7233367934987224,0.0001
