Epoch,TrainLoss,ValLoss,ValSpearman,LR
1,52.21077565125555,91.65934847873832,0.3505889747797161,0.0003
2,35.86249200227459,81.92654011951667,0.4012423358055102,0.0003
3,32.54913095660783,64.32250170215022,0.5242727222887335,0.0003
4,30.902617690571894,65.55282391012936,0.5215528177588741,0.0003
5,29.69168891439835,69.7584914848595,0.4976767402454837,0.0003
6,28.69169053172651,65.10525026525428,0.524699583975602,0.0003
7,27.971798809677093,69.54306601870314,0.5011024710293768,0.0003
8,27.277792386820177,61.42128987370918,0.5510459258805934,0.0003
9,26.852363943690957,67.02142777440761,0.5155739491973395,0.0003
10,26.328884837691476,65.90547573973387,0.5222534166147114,0.0003
11,25.78436336636496,66.39225667989086,0.5272735038485127,0.0003
12,25.371048913375336,63.58569720706237,0.5369709649904568,0.0003
13,24.874033710080965,66.28644577394468,0.5292217934055734,0.0003
14,24.537106364979973,71.53103573451435,0.4877709481607846,2.9999999999999997e-05
15,23.190324822972105,65.50798371514246,0.5315682577081812,2.9999999999999997e-05
16,22.968710043090507,66.3639173164767,0.5263759213289321,2.9999999999999997e-05
17,22.820331268005773,64.91150733346987,0.5349515318189179,2.9999999999999997e-05
18,22.736271548105616,65.0714172134087,0.532389724210121,2.9999999999999997e-05
