Epoch,Train Loss,Val Loss,Val Spearman,Learning Rate
1,0.1216717793930774,0.21172652146668722,0.45434668977256953,0.001
2,0.11817291278852135,0.11648379652508349,0.6862162599647124,0.001
3,0.11615604720661095,0.2687365845881681,0.4229385553603018,0.001
4,0.11613992010971283,0.15015079935285497,0.6061062194297719,0.001
5,0.11505164963210064,0.18035096318280996,0.5639919953977125,0.001
6,0.11451502647227411,0.18183376405237284,0.5335414714921564,0.001
7,0.11372180581260749,0.18841702509144956,0.5312907228114916,0.001
8,0.11371755505089472,0.17973223931467014,0.5842782094232227,0.0001
9,0.10706052938127923,0.08022303830880623,0.7590939809470542,0.0001
10,0.10548585194086431,0.08053240708101789,0.7564318158727037,0.0001
11,0.1055184547097849,0.07918364227250663,0.759345188999301,0.0001
12,0.10612841909610063,0.07899239870134067,0.7579263384948777,0.0001
13,0.10552659060434204,0.08083771544731327,0.7523957184012134,0.0001
14,0.10539967599600056,0.08381021651400238,0.7485399193274521,0.0001
15,0.10550403947563404,0.07930847233697784,0.7538718635762454,0.0001
16,0.10512193981911702,0.07822498964434639,0.7561813913543058,0.0001
17,0.1051973318460199,0.07985803437902328,0.7593787770102532,0.0001
18,0.10479752655822355,0.07714082302825882,0.7607692770993916,0.0001
19,0.10434497359371235,0.08318264131285563,0.7468732127785666,0.0001
20,0.10476922088412706,0.07865272779857228,0.7574900688724812,0.0001
21,0.10376518127100094,0.0766712723989993,0.7611127776090599,0.0001
22,0.10426933067443468,0.079300064513299,0.7580876083981101,0.0001
23,0.1039613209566065,0.08054506850092351,0.7520677145358946,0.0001
24,0.10396296686183605,0.07701833430959397,0.7604810492304798,0.0001
25,0.1040263037261007,0.0769345640487303,0.7612272649156693,0.0001
26,0.10413179630324358,0.08027969331596534,0.7514490202827038,0.0001
27,0.1035345443897426,0.0814766742932241,0.7485902850534557,1e-05
28,0.10288743565980434,0.07614436019937713,0.7651367521170989,1e-05
29,0.10243985730158718,0.07572993896588558,0.7655979328595615,1e-05
30,0.10285081685333904,0.07580575200439502,0.7654669056397991,1e-05
31,0.10281210833347697,0.07592870207280035,0.7657404693374996,1e-05
32,0.10310927604420209,0.07552031904595603,0.7656595311759944,1e-05
33,0.10221734007140218,0.0758404702426278,0.7654796211063601,1e-05
34,0.10299150584856635,0.07572228328201769,0.7657252821451216,1e-05
35,0.10274327965775222,0.07557770724374889,0.7665366492019473,1e-05
36,0.10249371569084426,0.07507077412832047,0.7659663551208148,1e-05
37,0.10252050798009381,0.07512054704158155,0.766488228098085,1e-05
38,0.10275716764457592,0.07540858774762559,0.7658417970128802,1e-05
39,0.10275045867423477,0.07539835195900194,0.7665454322661198,1e-05
40,0.10229439876591978,0.07553494109439886,0.7652518333395754,1e-05
41,0.10255782152481079,0.07539416054125685,0.7654319363830127,1e-05
42,0.1025419171686533,0.07542202423509521,0.7658241378419521,1.0000000000000002e-06
43,0.1029696542815349,0.0754674080995497,0.7655538844637249,1.0000000000000002e-06
44,0.1028085354322978,0.07538862053427285,0.7655552259575779,1.0000000000000002e-06
45,0.10294567575574563,0.07537904050260942,0.7654270093486056,1.0000000000000002e-06
46,0.10263879975991533,0.07536071034403044,0.7655429953074077,1.0000000000000002e-06
