Epoch,Train Loss,Val Loss,Val Spearman,Learning Rate
1,65.9494640132205,61.33583513439111,0.4157077997572329,0.001
2,42.73046973503967,51.30107955466344,0.4932033115571815,0.001
3,39.5417667257626,37.970499931900804,0.6082589903157128,0.001
4,37.667805983706124,35.46486966779343,0.6299019982987689,0.001
5,36.55214647272472,48.17338481055042,0.536693843734363,0.001
6,35.723042066578394,47.32128653471665,0.5431668487146876,0.001
7,34.96356864893353,33.775988482190414,0.6500297744671578,0.001
8,34.3708321591641,38.03251261583624,0.603932277868069,0.001
9,33.9685844559234,33.50832147561839,0.6521193661134715,0.001
10,33.532292495751435,35.51245171916312,0.6348781507337885,0.001
11,33.08088332739073,36.10265141917696,0.6290203383064651,0.001
12,32.74481483583914,33.85604134742498,0.652731879008517,0.001
13,32.47030918745439,38.28640282370827,0.6280002176814475,0.001
14,32.082656524986355,54.08526990991043,0.4996193181839693,0.001
15,31.948105613571233,55.45682916196819,0.4642455479781603,0.0001
16,30.786000587535945,28.25909013478605,0.699260528138833,0.0001
