Epoch,TrainLoss,ValLoss,ValSpearman,LR
1,68857.88939809865,34224.19457997053,0.4716172057187794,0.0001
2,27313.622591820542,31328.978902118222,0.49264708968646964,0.00015
3,22899.235207249512,33561.441707525344,0.46211142015201856,0.0002
4,20171.85403172465,27360.64248429925,0.6113863262360917,0.00025
5,18892.03446129863,25680.45118220444,0.6523282384791731,0.0003
6,18267.008894499337,25729.198483638167,0.6660232360903816,0.00035
7,17836.14774254863,27197.659533040438,0.6186636840721305,0.0004
8,17454.432095251068,27487.682629668907,0.6234147250791017,0.00045000000000000004
9,17109.400419862435,26631.707131962045,0.6532589413023915,0.0005
10,16871.433073955504,29426.54288611448,0.5715360979120604,0.0005
11,16405.31178512862,32704.13795656126,0.5194713054900233,0.00048778860081564085
12,15995.839004860483,28889.935032985344,0.6003825770061221,0.00045234974009654937
13,15686.623477993313,30882.45289430917,0.5481861850072774,0.000397152420446972
14,15442.719125481508,31371.058743526883,0.5252289721529864,0.0003275997400965494
15,15247.19526982191,30008.30051871006,0.5530731464026775,0.0002505
