Epoch,Train Loss,Val Loss,Val Spearman,Learning Rate
1,62.775552201523325,42.213596910516024,0.5543667973886052,0.001
2,42.80664177484439,37.36250285650593,0.6020859960273595,0.001
3,39.35282543232937,35.624982165634584,0.6212703523690701,0.001
4,37.38575440126333,34.67435464880865,0.6294195707991271,0.001
5,35.93886264253279,33.070040062422784,0.6438271167821131,0.001
6,34.83271519816028,34.79573847316803,0.6493212083249734,0.001
7,33.862650036871024,32.02836637504234,0.6546718382821963,0.001
8,32.99893843965091,32.05254449283375,0.6569301887539706,0.001
9,32.26094820934838,32.028601369136524,0.662181543409446,0.001
10,31.70605421880472,31.57806146561963,0.6662154418498903,0.001
11,31.11511470200594,31.334692832183254,0.6675095168855727,0.001
12,30.547289710225368,31.577194206290248,0.6671007462696196,0.001
13,30.09829531204455,30.920268828273276,0.6725593585078111,0.001
14,29.697787691726372,31.267978621002733,0.67188978808177,0.001
15,29.277613841174524,30.641307163457093,0.6736005685148216,0.001
16,29.14659326100824,31.21355870992196,0.6720294943370194,0.001
