Epoch,TrainLoss,ValLoss,ValSpearman,LR
1,39.03642902509672,76.37104663627979,0.4503091885618861,0.001
2,30.16906383751242,58.7817191616547,0.5848841493811908,0.001
3,28.141984548589225,53.1260911961496,0.6310394772578087,0.001
4,26.80184490376335,60.51202632036085,0.5929284918842873,0.001
5,25.812244717963125,87.97394003559666,0.3758359480949109,0.001
6,25.041668746906346,79.23799727547002,0.44888480046851087,0.001
7,24.459098784426853,67.04293554073845,0.5224236771338933,0.001
8,23.8446479402105,83.99913310893707,0.40727813909157456,0.001
9,23.29277194279523,62.26456099560209,0.5732172340943661,0.0001
10,22.042243668070014,67.8422753163259,0.5310293115374912,0.0001
11,21.803993979161714,65.03754461511569,0.5528781882198797,0.0001
12,21.670057525115197,64.99466935056829,0.5531447333396516,0.0001
13,21.585734407182404,64.54114742951394,0.5581324645369198,0.0001
