Epoch,TrainLoss,ValLoss,ValSpearman,LR
1,21.309725082683567,28.751912158242018,0.3497040145143174,0.0004969282409784868
2,12.997471725405157,25.356582668514537,0.405373510350886,0.00048778860081564085
3,12.22633168502648,21.517897451797506,0.562128392549555,0.00047280612778499774
4,11.794674024177246,25.81304136752865,0.4279468182357149,0.00045234974009654937
5,11.299041259193823,22.0934143335536,0.5500381855063373,0.00042692314190604356
6,10.980529479719996,25.995241544547273,0.42667617798143387,0.000397152420446972
7,10.767650659753722,25.768798527741463,0.4467719541161936,0.0003637706296850169
8,10.519591993622255,24.3367474295087,0.5497647033324026,0.0003275997400965494
9,10.390609286415838,22.302667549213172,0.6137824815861711,0.00028953039902753766
10,10.188799781915083,24.940014276170274,0.612999391836844,0.0002505
11,10.020525118874797,21.840809817307637,0.5887011700447135,0.00021146960097246235
12,9.826954328367163,23.727021845460317,0.5085149216719005,0.00017340025990345066
13,9.663136474796667,23.447405497811847,0.542081702958835,0.00013722937031498307
