Epoch,TrainLoss,ValLoss,ValSpearman,LR
1,70392.32282778429,41108.917886962336,0.22926858499430725,0.0001
2,26138.847811031697,35938.1046384274,0.4133807369101487,0.00015
3,22529.599563191015,46209.35467043127,0.40001007230384195,0.0002
4,19653.347395702625,44044.219879025375,0.37031309565246223,0.00025
5,18881.043192698748,34114.97770041534,0.5205717243656681,0.0003
6,18377.904335325344,47230.371842284934,0.34980486505025316,0.00035
7,17607.116579265657,45380.92497048532,0.35240594189428165,0.0004
8,16907.611708761626,31526.78688445892,0.5439574464287308,0.00045000000000000004
9,16236.600168321012,46453.88299207726,0.3576027406866251,0.0005
10,15766.63892599583,44544.820812115955,0.36433588455864824,0.0005
11,15398.277180363268,34281.77950401115,0.48395902739794144,0.0004969282409784868
12,15159.161484039512,34667.82425430985,0.450608481899815,0.00048778860081564085
13,14865.066494478835,32224.883801063952,0.5102831847349774,0.00047280612778499774
14,14738.427496919616,42398.529311987935,0.39967029142107463,0.00045234974009654937
15,14495.903071692355,38943.93729197485,0.4768436459699948,0.00042692314190604356
16,14365.096010346519,40106.396070991694,0.4658213581290504,0.000397152420446972
17,14101.435557004977,27806.88392552344,0.5529302116841274,0.0003637706296850169
18,14049.734266402285,37247.746909848654,0.4886079693597968,0.0003275997400965494
19,13809.32703853269,38905.38582619766,0.4648690791746831,0.00028953039902753766
20,13666.811232282344,35413.46730449192,0.49638863283137563,0.0002505
21,13566.074859988463,40016.647605399405,0.4561765534616214,0.00021146960097246235
22,13369.748951002715,39698.35373342911,0.46528599605522686,0.00017340025990345066
23,13203.38336142496,36361.73031050865,0.5007059537515507,0.00013722937031498307
24,13006.62331161597,37347.45958978152,0.4935501556107195,0.00010384757955302799
25,12807.379806728744,37966.36654564463,0.5068883083501949,7.40768580939564e-05
26,12688.102333685378,39723.2778807038,0.46283345381848695,4.8650259903450646e-05
27,12512.51348381687,37432.779703146334,0.5192876968721034,2.819387221500224e-05
