Epoch,TrainLoss,ValLoss,ValSpearman,LR
1,85.33114526926211,104.70294798621836,0.3042442737381178,0.0004986332128943842
2,56.20880663008345,99.85032222977549,0.3529343281737263,0.0004945478263830846
3,51.199984085051746,89.47389149310408,0.4377192498943525,0.00048778860081564085
4,48.15420122031763,85.09328360150951,0.48629839532712316,0.0004784295916818289
5,46.351854815831196,83.53726119403692,0.5188688952026846,0.0004665733382442175
6,45.29406050957167,79.60326501053575,0.5195916410690693,0.00045234974009654937
7,44.21792022662381,83.73261529402713,0.4998575220189448,0.00043591463395660984
8,43.511683280539586,81.46623256822107,0.5122526052758611,0.00041744808628653516
9,42.79172537694096,84.25076944968781,0.5042658208184884,0.000397152420446972
10,42.23436697356283,83.86220915401415,0.4981397687280041,0.00037525
11,41.66202004517071,83.17012030294984,0.511401913180299,0.0003519807924474122
12,41.222967569935136,84.86366628647988,0.5053668933285898,0.0003275997400965494
13,40.74152768374812,86.36339944419792,0.49670179341861975,0.0003023739668590309
14,40.45933159441389,89.15902507966234,0.4803986710963455,0.00027657985158527956
15,40.131930124668536,86.76531876875093,0.4899072807417541,0.0002505
16,39.82334602987642,84.42178880649446,0.5027363121754367,0.0002244201484147205
17,39.49408500452947,83.88155628857189,0.5036670124221424,0.0001986260331409691
18,39.28072274052292,85.72336951877364,0.49987255486571497,0.00017340025990345066
19,38.92521797534331,85.7444116254612,0.4961774811296016,0.00014901920755258787
20,38.72820901753978,86.43370466510953,0.5000080175182775,0.00012575000000000005
21,38.53545303699263,84.71499954978839,0.5036945726412212,0.00010384757955302799
