Epoch,TrainLoss,ValLoss,ValSpearman,LR
1,55913.53358881319,61333.04460531346,0.46219515329067407,0.0004969282409784868
2,16370.245034934418,20381.23906966743,0.49842897403609765,0.00048778860081564085
3,10020.44630278488,54506.77532492355,0.24198254225237498,0.00047280612778499774
4,9602.161866269644,28624.997915472093,0.316524897420742,0.00045234974009654937
5,9264.508345967666,27593.803504873853,0.35270389501366306,0.00042692314190604356
6,8997.969393246705,17364.443663990827,0.5382425753175888,0.000397152420446972
7,8804.577157612819,17478.542293816896,0.5305313562733962,0.0003637706296850169
8,8613.860011426113,17479.547735091743,0.5290922485202032,0.0003275997400965494
9,8408.713553196714,20369.144656680044,0.46543571557063196,0.00028953039902753766
10,8196.133700719605,26041.013606173547,0.35280326197757395,0.0002505
11,8079.544330188716,18058.04102159786,0.5220397639177996,0.00021146960097246235
12,7903.4941033147425,22665.02325234136,0.42166799441489133,0.00017340025990345066
13,7775.1526680528705,22938.546719705657,0.4091820214324262,0.00013722937031498307
14,7665.386859587088,22092.396633696484,0.416961769417247,0.00010384757955302799
15,7574.614731275204,21513.236077264908,0.4494384909927274,7.40768580939564e-05
16,7465.261230671744,18230.027558772937,0.5132063834708195,4.8650259903450646e-05
