Epoch,TrainLoss,ValLoss,ValSpearman,LR
1,56369.18293997974,78611.9090720057,0.3511317644928695,0.0001
2,53407.542438312026,74412.32631297529,0.443645157682845,0.00015
3,52524.32378719615,75629.71179895438,0.41732101585881504,0.0002
4,31886.963197209418,30971.223903873575,0.40406495297738865,0.00025
5,13737.376451828373,41057.03472552281,0.35246682323119366,0.0003
6,11238.861385698257,28503.243004396387,0.5051281539231662,0.00035
7,9879.49582416527,36340.197332461976,0.4130754012631669,0.0004
8,9433.288627016975,27187.83815797291,0.5082534534726437,0.00045000000000000004
9,8968.031558712717,36390.88547112643,0.4105776911525066,0.0005
10,8672.108239497109,27669.758547706748,0.48397836320840126,0.0005
11,8291.401245383226,20500.373455323195,0.575611214067376,0.0004999371846181554
12,7928.266188044627,17131.609612642587,0.6036121673003803,0.000499748770102058
13,7606.90416451108,21332.757270377853,0.5597715702250482,0.0004994348513240907
14,7315.79484140887,40341.909517585555,0.33479819684527806,0.0004989955863518122
15,7116.1057130952695,22990.965942846957,0.5552543641030556,0.0004984311963683641
16,6828.07279434396,26554.710707283746,0.4977300806254061,0.0004977419655610997
17,6458.213926152338,35772.89218452947,0.4053460928097475,0.0004969282409784868
18,6137.410747071677,17066.86364514021,0.6174411019160515,0.0004959904323553581
19,5836.841912621804,30935.142347908746,0.48105515970646817,0.0004949290119065973
20,5519.050907119875,31935.02091254753,0.4375544514383701,0.000493744514089365
21,5269.2073128951,27265.579276081273,0.5171403542405556,0.0004924375353339834
22,5001.118222236047,23218.40616831036,0.5522992086568468,0.0004910087337436154
23,4788.064120073257,27016.43674251426,0.5267332598438615,0.0004894588287628901
24,4584.0127313981075,23689.236224156368,0.5491929471408336,0.00048778860081564085
25,4428.427619092056,29193.439497682986,0.4955444345038395,0.0004859988909119377
26,4245.615659844099,29394.741652804183,0.4961790799970178,0.00048409060022461443
27,4106.342588698288,32139.047409695817,0.4558887433300317,0.0004820646896355002
28,3957.1336816788253,26931.31118553945,0.5248813784068761,0.00047992217925158697
