Epoch,TrainLoss,ValLoss,ValSpearman,LR
1,32821.450347885504,54227.847137076125,0.46415547557211323,0.0004969282409784868
2,21726.876283137397,59956.80769586368,0.35208222569865455,0.00048778860081564085
3,20159.471187765997,55713.181437044834,0.39784159453494644,0.00047280612778499774
4,18573.341087831246,56499.786132368004,0.46348432864269967,0.00045234974009654937
5,17679.630111864797,76133.5509537153,0.35879955987857143,0.00042692314190604356
6,17011.772047400467,90798.70947598999,0.291931829627618,0.000397152420446972
7,16558.679874570338,56362.89498108216,0.4526662918239668,0.0003637706296850169
8,16153.240334737056,60745.85731608443,0.4219118507667064,0.0003275997400965494
9,15791.226411378559,72063.30276371188,0.4327255526698618,0.00028953039902753766
10,15438.834111681717,65854.05402253072,0.4480336695442857,0.0002505
11,15161.744562417805,86812.79246913404,0.4099374114689117,0.00021146960097246235
